kombinasi_warna,style_desain,makna_warna,sifat,usia_pengguna,warna_dasar
Putih & Hitam,"American Classic, Alam, Tradisional, Industrial, Minimalis","Kekuatan, Suci","Panas, Dingin","D, L, R","Putih, Hitam"
Putih & Kuning,"American Classic, Alam, Tradisional, Industrial, Minimalis","Keceriaan, Suci","Panas, Dingin","D, L, A, R","Putih, Kuning"
Putih & Merah,"American Classic, Alam, Tradisional, Industrial, Minimalis","Suci, Keberanian","Panas, Dingin","D, L, A, R","Merah, Putih"
Putih & Ungu,"American Classic, Alam, Modern, Tradisional, Industrial, Minimalis","Keagungan, Suci",Dingin,"D, L, A, R","Merah, Putih, Biru"
Putih & Hijau,"American Classic, Alam, Tradisional, Industrial, Minimalis","Suci, Santai",Dingin,"D, L, A, R","Putih, Kuning, Biru"
Putih & Biru,"American Classic, Alam, Tradisional, Industrial, Minimalis","Ketenangan, Suci",Dingin,"D, L, A, R","Putih, Biru"
Putih & Oren,"American Classic, Alam, Tradisional, Industrial, Minimalis","Keceriaan, Suci","Panas, Dingin","D, L, A, R","Merah, Putih, Kuning"
Putih & Coklat,"American Classic, Alam, Tradisional, Industrial, Minimalis","Kenyamanan, Suci","Hangat, Dingin","L, R","Merah, Putih, Kuning, Biru"
Putih & Abu-abu,"American Classic, Alam, Tradisional, Industrial, Minimalis","Kerendahan hati, Suci",Dingin,"D, L, R","Putih, Hitam"
Putih & Merah muda,"American Classic, Alam, Modern, Tradisional, Industrial, Minimalis","Kewanitaan, Suci","Panas, Dingin","D, L, A, R","Merah, Putih"
Putih & Merah tua,"American Classic, Alam, Modern, Tradisional, Industrial, Minimalis","Suci, Keberanian","Panas, Dingin","L, R","Merah, Putih, Hitam"
Putih & Biru tua,"American Classic, Alam, Tradisional, Industrial, Minimalis","Ketenangan, Suci",Dingin,"D, L, A, R","Putih, Biru, Hitam"
Putih & Abu-abu tua,"American Classic, Alam, Tradisional, Industrial, Minimalis","Kerendahan hati, Suci","Panas, Dingin","D, L, R","Putih, Hitam"
Putih & Hijau tua,"American Classic, Alam, Tradisional, Industrial, Minimalis","Suci, Santai",Dingin,"L, R","Putih, Hijau, Hitam"
Putih & Coklat tua,"American Classic, Alam, Tradisional, Industrial, Minimalis","Kejantanan, Suci","Hangat, Dingin","L, R","Merah, Putih, Kuning, Biru"
Putih & Coklat muda,"American Classic, Alam, Tradisional, Industrial, Minimalis","Kejantanan, Suci","Hangat, Dingin","L, R","Merah, Putih, Kuning, Biru"
Putih & Biru muda,"American Classic, Alam, Tradisional, Industrial, Minimalis","Kewanitaan, Suci",Dingin,"D, L, A, R","Putih, Biru"
Putih & Abu-abu muda,"American Classic, Alam, Tradisional, Industrial, Minimalis","Kerendahan hati, Suci",Dingin,"D, L, R","Putih, Hitam"
Putih & Hijau muda,"American Classic, Alam, Tradisional, Industrial, Minimalis","Kewanitaan, Suci","Hangat, Dingin","D, L, A, R","Putih, Kuning, Biru"
Putih & Magenta,"American Classic, Alam, Modern, Tradisional, Industrial, Minimalis","Kewanitaan, Suci",Dingin,"D, L, A, R","Merah, Putih, Biru"
Putih & Emas,"American Classic, Alam, Tradisional, Industrial, Minimalis","Keagungan, Suci","Panas, Dingin","D, L, A, R","Merah, Putih, Kuning, Biru"
Putih & Biru navy,"American Classic, Alam, Tradisional, Industrial, Minimalis","Ketenangan, Suci",Dingin,"D, L, A, R","Putih, Biru, Hitam"
Putih & Merah maroon,"American Classic, Alam, Tradisional, Industrial, Minimalis","Keceriaan, Suci","Panas, Dingin","D, L, R","Merah, Putih, Kuning, Biru"
Putih & Peach,"American Classic, Alam, Modern, Tradisional, Industrial, Minimalis","Kewanitaan, Suci","Hangat, Dingin","D, L, R","Merah, Putih, Kuning"
Putih & Silver,"American Classic, Alam, Tradisional, Industrial, Minimalis","Ketenangan, Suci",Dingin,"D, L, R","Putih, Hitam"
Putih & Coral,"American Classic, Alam, Tradisional, Industrial, Minimalis","Kewanitaan, Suci","Panas, Dingin","D, L, A, R","Merah, Putih, Kuning"
Putih & Biru air,"American Classic, Alam, Tradisional, Industrial, Minimalis","Ketenangan, Suci",Dingin,"D, L, A, R","Putih, Biru"
Putih & Krem,"American Classic, Alam, Tradisional, Industrial, Minimalis","Kehangatan, Suci","Hangat, Dingin","D, L, R","Merah, Putih, Kuning, Biru"
Putih & Hijau lumut,"American Classic, Alam, Tradisional, Industrial, Minimalis","Kejantanan, Suci",Dingin,"L, R","Putih, Kuning, Biru"
Hitam & Kuning,"Industrial, American Classic","Keceriaan, Kekuatan",Panas,"D, A, R","Kuning, Hitam"
Hitam & Merah,"Industrial, American Classic","Kekuatan, Keberanian",Panas,"D, A, R","Merah, Hitam"
Hitam & Ungu,"Modern, Industrial","Keagungan, Kekuatan","Panas, Dingin","D, A, R","Merah, Biru, Hitam"
Hitam & Hijau,"Alam, Industrial","Kekuatan, Santai","Panas, Dingin","D, L, A, R","Kuning, Biru, Hitam"
Hitam & Biru,"Alam, Industrial","Ketenangan, Kekuatan","Panas, Dingin","D, L, A, R","Biru, Hitam"
Hitam & Oren,"Industrial, American Classic","Keceriaan, Kekuatan",Panas,"D, L, A, R","Merah, Kuning, Hitam"
Hitam & Coklat,"Alam, Industrial, Tradisional","Kenyamanan, Kekuatan","Panas, Hangat","D, L, R","Merah, Kuning, Biru, Hitam"
Hitam & Abu-abu,Industrial,"Kerendahan hati, Kekuatan","Panas, Dingin","D, L, R","Putih, Hitam"
Hitam & Merah muda,"Modern, Industrial","Kewanitaan, Kekuatan",Panas,"D, A, R","Merah, Putih, Hitam"
Hitam & Merah tua,"Modern, Industrial","Kekuatan, Keberanian",Panas,"D, L, R","Merah, Hitam"
Hitam & Biru tua,"Alam, Industrial","Ketenangan, Kekuatan","Panas, Dingin","D, L, A, R","Biru, Hitam"
Hitam & Abu-abu tua,Industrial,"Kerendahan hati, Kekuatan",Panas,"D, L, R","Putih, Hitam"
Hitam & Hijau tua,"Alam, Industrial","Kekuatan, Santai","Panas, Dingin","D, L, R","Hijau, Hitam"
Hitam & Coklat tua,"Alam, Industrial, Tradisional","Kejantanan, Kekuatan","Panas, Hangat","D, L, R","Merah, Kuning, Biru, Hitam"
Hitam & Coklat muda,"Tradisional, Alam, Industrial, American Classic","Kejantanan, Kekuatan","Panas, Hangat","D, L, R","Merah, Kuning, Biru, Hitam"
Hitam & Biru muda,"Alam, Industrial, American Classic","Kewanitaan, Kekuatan","Panas, Dingin","D, L, A, R","Putih, Biru, Hitam"
