nama_warna|style_desain|makna_warna|sifat|usia_pengguna|warna_dasar,,,,,,
Putih|American Classic, Tradisional, Industrial, Minimalis, Alam|Suci|Dingin|Remaja, Lansia|Putih,
Hitam|Industrial|Kekuatan|Panas|R, D|Hitam,,,,,
Merah|American Classic|Keberanian|Panas|A, R, D|Merah,,,,
Ungu|Modern|Keagungan|Dingin|A, R, D|Merah, Biru,,,
Hijau|Alam|Santai|Dingin|A, R, D, L|Kuning, Biru,,
Biru|Alam|Ketenangan|Dingin|A, R, D, L|Biru,,,
Oren|American Classic|Keceriaan|Panas|A, R, D, L|Merah, Kuning,,
Coklat|Tradisional, Alam|Kenyamanan|Hangat|R, L|Merah, Biru, Kuning,,
Grey|Industrial|Kerendahan hati|Dingin|R, D, L|Hitam, Putih,,,
Pink|Modern|Kewanitaan|Panas|A, R, D|Merah, Putih,,,
Dark red|Modern|Keberanian|Panas|R, L|Merah, Hitam,,,,
Dark blue|Alam|Ketenangan|Dingin|A, R, D, L|Biru, Hitam,,
Dark grey|Industrial|Kerendahan hati|Panas|D, R, L|Putih, Hitam,,,
Dark green|Alam|Santai|Dingin|L|Hijau, Hitam,,,,,
Dark brown|Tradisional, Alam|Kejantanan|Hangat|L|Merah, Biru, Kuning,,,
Light brown|American Classic, Tradisional, Alam|Kejantanan|Hangat|L|Merah, Biru, Kuning,,
Light blue|American Classic, Alam|Kewanitaan|Dingin|A, R, D, L|Biru, Putih,
Light grey|Industrial|Kerendahan hati|Dingin|R, D, L|Hitam, Putih,,,
Light green|American Classic, Alam|Kewanitaan|Hangat|A, R, D, L|Biru, Kuning,
Magenta|American Classic, Modern|Kewanitaan|Dingin|A, R, D, L|Biru, Merah, Putih
Gold|American Classic|Keagungan|Panas|A, R, D, L|Merah, Biru, Kuning,
Navy blue|Alam|Ketenangan|Dingin|A, R, D, L|,,,
Maroon|Tradisional, Alam|Keceriaan|Panas|R, D, L|Merah, Biru, Kuning,
Peach|American Classic, Modern|Kewanitaan|Hangat|R, D, L|Merah, Kuning, Putih,
Silver|Industrial|Ketenangan|Dingin|R, D, L|Hitam, Putih,,,
Coral|American Classic|Kewanitaan|Panas|A, R, D, L|Merah, Kuning,,
Aqua|American Classic, Alam|Ketenangan|Dingin|A, R, D, L|Biru, Putih,
Khaki|American Classic|Kehangatan|Hangat|R, D, L|Merah, Biru, Kuning,,
Olive|Alam|Kejantanan|Dingin|L|Biru, Kuning, Putih,,,,
